"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH1"
"2996",0.05,"N CROWN BLVD","NE","5  Major Collector",36,4,2,10,2000,3,1.875
"2997",1.07,"PENA BLVD INBOUND","E","4  Minor Arterial",20,4,4,10,4700,3,1.07
"2998",0.04,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,8,10,31000,1,1.06
"2999",0.16,"W AMHERST AVE","W","5  Major Collector",36,4,2,10,3000,3,0.16
"3000",0.05,"W FLORIDA AVE","W","4  Minor Arterial",44,4,4,10,12000,1,2.94
"3001",0.07,"W 44TH AVE","W","5  Major Collector",26,1,2,10,4100,3,0.43
"3002",0.05,"W YALE AVE","W","4  Minor Arterial",36,1,2,10,9100,3,0.2
"3003",0.065,"N SPEER BLVD","NW","3  Principal Arterial - Other",48,1,4,12,32000,3,1.8
"3004",0.02,"W 46TH AVE","W","5  Major Collector",50,4,2,10,5600,3,2.63
"3005",0.12,"E UNION AVE","NE","5  Major Collector",48,4,6,10,6200,3,0.12
"3006",0.06,"N YORK ST","N","4  Minor Arterial",36,4,2,10,14000,2,0.06
"3007",0.05,"MARKET ST","NE","4  Minor Arterial",40,4,2,12,7500,0,0.6
"3008",0.02,"W 44TH AVE","W","5  Major Collector",40,4,2,10,7800,3,0.56
"3009",0.03,"LAWRENCE ST","NE","4  Minor Arterial",40,4,2,12,1800,0,1.665
"3010",0.1,"E 75TH AVE","E","5  Major Collector",30,2.5,2,12,8700,2,3.34
"3011",0.07,"S MONACO STREET PKWY","S","4  Minor Arterial",78,1,4,10,28000,3,0.94
"3012",0.76,"W QUINCY AVE","W","4  Minor Arterial",26,1,2,10,13000,3,2.04
"3013",0.07,"W 29TH AVE","W","4  Minor Arterial",44,4,3,10,6300,1,0.21
"3014",0.06,"E 24TH AVE","E","5  Major Collector",36,4,2,10,830,3,0.51
"3015",0.1,"S STEELE ST","S","3  Principal Arterial - Other",84,4,5,10,32000,1,0.1
"3016",0.04,"E MONTVIEW BLVD","E","5  Major Collector",44,4,2,10,7900,3,0.71
"3017",0.06,"E 17TH AVE","E","4  Minor Arterial",36,4,2,12,8500,3,0.16
"3018",0.05,"E MEXICO AVE","E","5  Major Collector",36,4,2,12,510,2,1.41
"3019",0.035,"STOUT ST","NE","4  Minor Arterial",48,4,2,12,4300,2,1.365
"3020",0.06,"E 40TH AVE","E","4  Minor Arterial",48,4,4,10,16000,1,0.44
"3021",0.04,"N IRVING ST","N","5  Major Collector",28,1,2,11,4000,3,1.29
"3022",0.05,"N QUEBEC ST","N","4  Minor Arterial",40,4,2,10,25000,3,0.87
"3023",0.03,"E HALE PKWY","SE","5  Major Collector",110,4,4,12,5800,3,0.72
"3024",0.02,"W 6TH AVE","W","3  Principal Arterial - Other",60,4,5,10,30000,0,0.6
"3025",0.06,"E EVANS AVE","E","3  Principal Arterial - Other",48,4,4,12,29000,0,1.46
"3026",0.09,"CALIFORNIA ST","NE","5  Major Collector",48,4,2,11,3200,3,0.63
"3027",0.03,"E MONTVIEW BLVD","E","5  Major Collector",44,4,2,10,7900,3,0.12
"3028",0.06,"E 3RD AVE","E","5  Major Collector",44,4,2,10,5300,3,0.49
"3029",0.05,"N WASHINGTON ST","NW","3  Principal Arterial - Other",28,4,2,10,39000,2,0.25
"3031",0.06,"E VIRGINIA AVE","E","5  Major Collector",40,4,2,10,4700,3,1.45
"3032",0.06,"W 8TH AVE","W","3  Principal Arterial - Other",40,4,4,10,30000,1,2.96
"3033",0.1,"N PEORIA ST","N","3  Principal Arterial - Other",48,4,4,12,40000,3,0.1
"3034",0.03,"N SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,25000,3,0.18
"3035",0.06,"E ILIFF AVE","E","5  Major Collector",32,4,2,10,4100,3,0.85
"3036",0.02,"S EMERSON ST","S","4  Minor Arterial",32,4,1,12,1900,2,0.14
"3037",0.05,"ARAPAHOE ST","NE","5  Major Collector",40,2.5,2,12,1300,2,0.7
"3038",0.11,"N HOLLY ST","N","5  Major Collector",36,4,2,10,13000,3,0.22
"3039",0.05,"W JEWELL AVE","W","4  Minor Arterial",48,4,2,12,12000,0,1.98
"3040",0.12,"S FRANKLIN ST","S","5  Major Collector",36,4,2,10,3000,3,0.25
"3041",0.01,"N PECOS ST","N","4  Minor Arterial",44,4,2,10,14000,3,0.9
"3042",0.07,"STOUT ST","NE","4  Minor Arterial",48,4,2,12,4300,2,1.5
"3043",0.1,"E 75TH AVE","E","5  Major Collector",30,2.5,2,12,8700,2,2.54
"3044",0.04,"E ALAMEDA AVE","E","3  Principal Arterial - Other",44,4,4,10,27000,0,1.2
"3045",0.18,"S IRVING ST","S","5  Major Collector",40,2.5,2,10,4100,3,3.325
"3046",0.01,"N QUEBEC ST","N","4  Minor Arterial",36,4,4,10,26000,3,0.31
"3047",0.1,"N PEORIA ST","N","3  Principal Arterial - Other",84,4,6,11,32000,0,0.9
"3048",0.09,"LARIMER ST","NE","4  Minor Arterial",33,4,2,11,3000,0,1.05
"3049",0.13,"S SAINT PAUL ST","S","5  Major Collector",30,4,2,10,3800,3,0.38
"3050",0.83,"S PLATTE RIVER DR","S","5  Major Collector",30,2.5,2,11,4000,3,2.44
"3051",0.09,"LARIMER ST","NE","4  Minor Arterial",33,4,3,11,3000,0,0.33
"3052",0.13,"N YOSEMITE ST","N","5  Major Collector",36,4,2,11,8800,3,0.51
"3053",0.06,"STOUT ST","NE","4  Minor Arterial",48,4,2,12,5700,0,1.59
"3054",0.03,"N WASHINGTON ST","N","3  Principal Arterial - Other",40,1,2,10,22000,0,0.93
"3055",0.07,"E 26TH AVE","E","5  Major Collector",36,2.5,2,10,5900,3,0.38
"3056",0.06,"S IRVING ST","S","5  Major Collector",40,4,2,10,4100,3,0.91
"3057",0.02,"N LOGAN ST","N","4  Minor Arterial",52,1,2,12,12000,3,0.14
"3058",0.16,"N BRIGHTON BLVD","NE","4  Minor Arterial",32,4,2,12,9300,1,0.997
"3059",0.1,"W MISSISSIPPI AVE","W","4  Minor Arterial",48,4,4,10,13000,3,1.49
"3060",0.14,"7TH ST","NW","4  Minor Arterial",30,4,4,10,12000,1,0.34
"3061",0.06,"E 51ST AVE","E","5  Major Collector",30,4,2,10,3200,3,0.06
"3062",0.055,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",154,4,4,10,30000,3,2.155
"3063",0.06,"W LOUISIANA AVE","W","5  Major Collector",40,4,2,10,4100,3,2.57
"3064",0.04,"S HOLLY ST","S","4  Minor Arterial",52,2.5,2,10,17000,3,2.15
"3065",0.02,"E MONTVIEW BLVD","E","5  Major Collector",44,4,2,10,7900,3,0.3
"3066",0.03,"E MEXICO AVE","E","5  Major Collector",36,4,2,12,510,2,1.65
"3067",0.03,"E BUCHTEL BLVD","SE","5  Major Collector",30,4,2,11,7000,1,0.5
"3068",0.05,"E 75TH AVE","E","5  Major Collector",30,2.5,2,12,8700,2,3.24
"3069",0.02,"E ALAMEDA AVE","E","3  Principal Arterial - Other",44,4,6,10,34000,0,1.8
"3070",0.06,"E LOUISIANA AVE","E","5  Major Collector",32,4,2,11,3700,3,1.56
"3071",0.04,"N DOWNING ST","N","4  Minor Arterial",40,4,2,10,4700,3,1.799
"3072",0.03,"E 75TH AVE","E","5  Major Collector",20,4,2,12,8700,2,2.74
"3073",0.1,"W 32ND AVE","W","4  Minor Arterial",34,2.5,2,10,6700,3,1.14
"3074",0.03,"W 48TH AVE","W","5  Major Collector",40,4,2,10,4500,3,1.12
"3075",0.06,"E MISSISSIPPI AVE","E","5  Major Collector",32,4,2,12,1200,3,0.36
"3076",0.07,"E 16TH AVE","E","5  Major Collector",36,4,2,12,3600,3,0.67
"3077",0.09,"N FRANKLIN ST","N","5  Major Collector",34,2.5,2,10,2600,3,1.247
"3078",0.06,"E 6TH AVE","E","3  Principal Arterial - Other",44,4,3,10,30000,1,1.08
"3079",0.04,"S HOLLY ST","S","4  Minor Arterial",52,2.5,2,10,17000,3,2.25
"3080",0.01,"38TH ST","NW","3  Principal Arterial - Other",50,4,4,12,39000,2,0.46
"3081",0.06,"E LOUISIANA AVE","E","5  Major Collector",40,2.5,2,10,3700,3,0.06
"3082",0.06,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,26000,2,0.18
"3083",0.07,"W ALAMEDA AVE","W","3  Principal Arterial - Other",52,4,4,10,28000,1,0.585
"3084",0.17,"E YALE AVE","E","4  Minor Arterial",72,4,6,10,14000,1,0.25
"3085",0.04,"22ND ST","NW","3  Principal Arterial - Other",48,2.5,4,10,21000,1,0.24
"3086",0.1,"E 75TH AVE","E","5  Major Collector",30,2.5,2,12,8700,2,1.14
"3087",0.09,"W FLORIDA AVE","W","4  Minor Arterial",48,4,4,10,10000,1,0.88
"3088",0.05,"N CROWN BLVD","NE","5  Major Collector",44,4,2,10,2600,3,0.545
"3089",0.11,"N DOWNING ST","N","4  Minor Arterial",32,4,2,10,7800,3,0.83
"3090",0.04,"E 1ST AVE","E","3  Principal Arterial - Other",62,4,6,10,41000,1,1.14
"3091",0.07,"E 13TH AVE","E","4  Minor Arterial",62,4,4,10,10000,3,0.07
"3092",0.1,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",44,4,4,10,35000,3,0.2
"3093",0.09,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",44,4,4,10,36000,3,1.49
"3094",0.06,"W EXPOSITION AVE","W","5  Major Collector",36,4,2,12,2300,3,0.25
"3095",0.07,"S RALEIGH ST","S","5  Major Collector",44,4,2,11,3600,3,0.91
"3096",0.06,"E HAPPY CANYON RD","SE","5  Major Collector",48,4,2,10,8400,3,0.24
"3097",0.06,"S HOLLY ST","S","4  Minor Arterial",52,2.5,2,10,17000,3,2.32
"3098",0.09,"W 26TH AVE","W","5  Major Collector",36,1,2,10,11000,3,0.49
"3099",0.02,"E 6TH AVE","E","3  Principal Arterial - Other",40,4,4,10,30000,1,0.9
"3100",0.02,"E 8TH AVE","E","3  Principal Arterial - Other",36,4,3,11,20000,3,1.42
"3101",0.04,"LAWRENCE ST","NE","4  Minor Arterial",40,4,2,12,1800,0,1.485
"3102",0.06,"S LOWELL BLVD","S","4  Minor Arterial",46,1,2,10,9400,3,0.22
"3103",0.07,"E 29TH AVE","E","5  Major Collector",40,4,2,11,3400,3,0.85
"3104",0.07,"E 19TH AVE","E","5  Major Collector",48,4,3,10,4600,1,0.35
"3105",0.03,"17TH ST","NW","5  Major Collector",52,1,3,10,5800,3,0.1
"3106",0.02,"N PECOS ST","N","4  Minor Arterial",32,2.5,2,12,2200,2,0.1
"3107",0.07,"S FIELD WAY","S","5  Major Collector",44,4,2,10,1800,3,0.29
"3108",0.07,"E 35TH AVE","E","5  Major Collector",40,4,2,10,2100,3,0.33
"3109",0.11,"S TEJON ST","S","5  Major Collector",36,4,2,10,3000,3,1.38
"3110",0.07,"E 17TH AVE","E","5  Major Collector",48,4,3,10,16000,3,0.14
"3111",0.08,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",44,4,4,10,36000,1,1.2
"3112",0.06,"E FLORIDA AVE","E","4  Minor Arterial",36,4,2,10,5500,3,1.025
"3113",0.03,"W KENTUCKY AVE","W","5  Major Collector",36,4,2,10,5300,3,1.45
"3114",0.04,"E EXPOSITION AVE","E","5  Major Collector",36,4,2,11,8000,3,1.02
"3115",0.03,"E 14TH AVE","E","4  Minor Arterial",36,4,3,10,8700,1,2.15
"3116",0.07,"W EXPOSITION AVE","W","5  Major Collector",36,4,2,12,2300,3,0.32
"3117",0.12,"W LOUISIANA AVE","W","5  Major Collector",36,4,2,10,4100,3,1.97
"3118",0.06,"E 1ST AVE","E","5  Major Collector",36,4,2,10,4400,3,0.38
"3119",0.07,"W 11TH AVE","W","5  Major Collector",36,4,2,10,1900,3,0.07
"3120",0.06,"W EVANS AVE","W","3  Principal Arterial - Other",52,2.5,4,12,32000,1,0.06
"3121",0.04,"N TENNYSON ST","N","5  Major Collector",40,4,2,10,4000,3,1.37
"3122",0.11,"W 10TH AVE","W","5  Major Collector",40,4,2,10,5900,3,1.035
"3123",0.06,"E 35TH AVE","E","5  Major Collector",30,2.5,2,10,2100,3,1.71
"3124",0.02,"E LOUISIANA AVE","E","5  Major Collector",40,4,2,10,3700,3,0.46
"3126",0.1,"PARK AVE","NW","4  Minor Arterial",60,4,4,10,15000,3,0.56
"3127",0.06,"AURARIA PKWY","NE","3  Principal Arterial - Other",44,1,3,12,32000,3,0.7
"3128",0.07,"E 35TH AVE","E","5  Major Collector",30,2.5,2,10,2100,3,1.27
"3129",0.07,"28TH ST","NW","5  Major Collector",36,4,2,12,550,3,0.3
"3130",0.06,"W KENTUCKY AVE","W","5  Major Collector",36,4,2,10,5300,3,1.39
"3131",0.07,"17TH ST","NW","4  Minor Arterial",66,4,5,10,5200,0,0.41
"3132",0.06,"E MARTIN LUTHER KING BLVD","E","4  Minor Arterial",68,2.5,6,12,22000,1,2.52
"3133",0.02,"N HOLLY ST","N","5  Major Collector",40,4,2,10,7100,3,3.33
"3134",0.02,"E HAPPY CANYON RD","SE","5  Major Collector",48,2.5,2,10,8400,3,0.71
"3135",0.09,"E 6TH AVENUE PKWY","E","4  Minor Arterial",140,4,4,10,17000,1,0.09
"3136",0.06,"E 1ST AVE","E","5  Major Collector",62,4,4,10,11000,0,1.54
"3137",0.13,"S SAINT PAUL ST","S","5  Major Collector",36,1,2,10,3800,3,0.13
"3138",0.09,"N STEELE ST","N","5  Major Collector",40,4,2,10,6400,3,0.09
"3139",0.06,"E EVANS AVE","E","3  Principal Arterial - Other",48,4,4,10,30000,1,2.8
"3140",0.03,"E 8TH AVE","E","4  Minor Arterial",44,4,3,10,12000,1,0.1
"3141",0.12,"S DOWNING ST","S","4  Minor Arterial",36,4,2,10,16000,3,3.21
"3142",0.02,"S BROADWAY","S","3  Principal Arterial - Other",72,4,5,10,24000,1,0.12
"3143",0.03,"E DARTMOUTH AVE","E","5  Major Collector",36,4,2,10,8500,3,0.24
"3144",0.011,"N BROADWAY","N","3  Principal Arterial - Other",72,2.5,5,10,18000,1,1.301
"3145",0.11,"S RALEIGH ST","S","5  Major Collector",44,4,2,11,3600,3,1.02
"3146",0.06,"19TH ST","NW","4  Minor Arterial",66,4,4,10,8500,0,0.52
"3147",0.06,"E 29TH AVE","E","5  Major Collector",40,4,2,11,3400,3,1.36
"3148",0.01,"N CROWN BLVD","NE","5  Major Collector",36,4,2,10,2000,3,1.68
"3149",0.025,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",154,4,4,10,30000,3,2.1
"3150",0.12,"S SANTA FE DR","S","4  Minor Arterial",40,2.5,3,10,19000,3,0.12
"3151",0.06,"E EVANS AVE","E","3  Principal Arterial - Other",48,4,4,10,29000,0,1.09
"3152",0.03,"E MARTIN LUTHER KING JR BLVD","E","4  Minor Arterial",68,2.5,6,12,22000,1,1.13
"3153",0.04,"E ALAMEDA AVE","E","4  Minor Arterial",30,4,2,12,23000,0,1.08
"3154",0.04,"COURT PL","NE","5  Major Collector",48,4,3,10,4100,3,0.33
"3155",0.16,"W FLORIDA AVE","W","4  Minor Arterial",48,2.5,4,10,7700,1,0.5
"3156",0.05,"38TH ST","NW","3  Principal Arterial - Other",50,4,4,12,39000,2,0.51
"3157",0.04,"W 38TH AVE","W","4  Minor Arterial",68,2.5,4,12,22000,1,2.245
"3158",0.08,"N CLAY ST","N","5  Major Collector",32,2.5,2,16,1300,3,0.65
"3159",0.06,"W 35TH AVE","W","5  Major Collector",30,2.5,2,10,1800,3,0.1
"3160",0.065,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",154,4,4,10,30000,3,1.8
"3161",0.07,"E EVANS AVE","E","3  Principal Arterial - Other",40,4,4,10,29000,0,0.49
"3162",0.06,"E MEXICO AVE","E","5  Major Collector",36,4,2,10,8000,3,0.58
"3163",0.06,"E MANSFIELD AVE","NE","5  Major Collector",40,1,2,11,3300,3,0.06
"3164",0.05,"W HARVARD AVE","W","5  Major Collector",36,4,2,10,1500,3,0.62
"3165",0.04,"W 38TH AVE","W","4  Minor Arterial",68,2.5,4,12,22000,1,2.545
"3166",0.03,"E 6TH AVENUE PKWY","E","4  Minor Arterial",140,4,4,10,17000,1,1.22
"3167",0.07,"N LOWELL BLVD","N","5  Major Collector",36,4,2,12,2200,3,1.18
"3168",0.06,"E LOUISIANA AVE","E","5  Major Collector",32,4,2,11,3700,3,1.74
"3169",0.02,"S HOLLY ST","S","5  Major Collector",40,4,2,10,7800,3,2.82
"3170",0.04,"E EXPOSITION AVE","E","5  Major Collector",36,4,2,11,8000,3,1.38
"3171",0.06,"W 38TH AVE","W","4  Minor Arterial",68,4,4,10,21000,3,0.3
"3172",0.042,"E 17TH AVE","E","5  Major Collector",68,4,4,12,23000,3,2.392
"3173",0.03,"E 31ST AVE","E","4  Minor Arterial",44,2.5,2,12,6900,0,0.15
"3174",0.02,"S TEJON ST","S","5  Major Collector",40,2.5,2,10,3000,3,0.7
"3175",0.06,"W 38TH AVE","W","4  Minor Arterial",68,4,4,10,21000,3,0.79
"3176",0.06,"W EVANS AVE","W","5  Major Collector",48,4,2,10,13000,2,1.32
"3177",0.02,"S MONACO STREET PKWY","S","4  Minor Arterial",78,4,5,10,25000,1,0.38
"3178",0.07,"S QUEBEC WAY","S","5  Major Collector",24,1,2,10,4700,3,0.265
"3179",0.02,"W OXFORD AVE","W","5  Major Collector",36,2.5,2,10,8600,3,0.04
"3180",0.05,"E 46TH AVE","E","5  Major Collector",60,4,4,10,5100,3,0.645
"3181",0.13,"W 11TH AVE","W","5  Major Collector",40,4,2,10,8900,3,0.51
"3182",0.11,"S KNOX CT","S","5  Major Collector",48,1,2,10,13000,3,0.11
"3183",0.22,"E 51ST AVE","E","5  Major Collector",36,4,2,10,3200,3,0.49
"3184",0.03,"N BROADWAY","N","3  Principal Arterial - Other",72,2.5,5,10,29000,0,2.63
"3185",0.06,"E MISSISSIPPI AVE","E","5  Major Collector",32,4,2,10,5400,3,0.67
"3186",0.09,"CENTRAL ST","NE","5  Major Collector",40,4,3,11,11000,3,0.19
"3187",0.02,"E 8TH AVE","E","4  Minor Arterial",44,1,2,10,12000,1,1.525
"3188",0.04,"E MANSFIELD AVE","NE","5  Major Collector",40,1,2,11,3300,3,0.49
"3189",0.076,"E 56TH AVE","E","3  Principal Arterial - Other",32,2.5,2,12,19000,2,3.976
"3190",0.06,"W 10TH AVE","W","5  Major Collector",36,4,2,10,1300,3,0.48
"3191",0.02,"N DOWNING ST","N","4  Minor Arterial",40,4,2,10,11000,1,1.959
"3192",0.17,"ARKINS CT","NE","5  Major Collector",38,1,2,12,1800,3,1.01
"3193",0.07,"S TEJON ST","S","5  Major Collector",36,4,2,10,1900,3,0.65
"3194",0.08,"N TEJON ST","N","5  Major Collector",32,4,2,10,4800,3,1.21
"3195",0.02,"W EVANS AVE","W","3  Principal Arterial - Other",44,4,4,10,23000,0,0.12
"3196",0.1,"E EVANS AVE","E","3  Principal Arterial - Other",48,4,4,12,29000,0,1.3
"3197",0.06,"14TH ST","NW","4  Minor Arterial",52,1,4,10,3300,3,0.38
"3198",0.06,"E 1ST AVE","E","5  Major Collector",36,4,2,10,4400,3,0.26
"3199",0.05,"E 51ST AVE","E","5  Major Collector",82,4,2,10,8700,3,0.88
"3200",0.01,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,6,10,37000,1,1.12
"3201",0.05,"AURARIA PKWY","NE","3  Principal Arterial - Other",44,1,3,11,34000,0,0.55
"3202",0.05,"LAWRENCE ST","NE","5  Major Collector",40,4,2,10,5300,3,2.105
"3203",0.02,"E 8TH AVE","E","4  Minor Arterial",44,4,3,10,12000,1,0.925
"3204",0.06,"E STAPLETON SOUTH DR","E","5  Major Collector",28,4,2,10,1200,3,0.84
"3205",0.11,"N PERRY ST","N","5  Major Collector",36,4,2,10,3900,3,0.22
"3206",0.09,"W 13TH AVE","W","5  Major Collector",50,4,2,10,7900,1,1.54
"3207",0.105,"S LOWELL BLVD","S","5  Major Collector",44,4,2,10,2800,3,2.33
"3208",0.06,"AURARIA PKWY","N","3  Principal Arterial - Other",20,1,1,10,34000,0,0.9
"3209",0.08,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,5,10,29000,0,0.98
"3211",0.06,"E IOWA AVE","E","5  Major Collector",30,4,2,10,4100,3,0.48
"3212",0.05,"S SYRACUSE WAY","S","4  Minor Arterial",24,4,2,10,10000,3,0.24
"3213",0.06,"E 3RD AVE","E","5  Major Collector",34,4,2,10,5300,3,0.73
"3214",0.04,"MORRISON RD","SW","4  Minor Arterial",48,4,2,10,13000,3,0.5
"3215",0.09,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",65,1,4,10,39000,1,1.7
"3216",0.03,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,26000,2,0.6
"3217",0.04,"E 40TH AVE","E","4  Minor Arterial",48,4,4,10,10000,0,1.34
"3218",0.08,"W 35TH AVE","W","5  Major Collector",34,4,2,10,1800,3,1.08
"3219",0.036,"E 56TH AVE","E","3  Principal Arterial - Other",32,4,2,10,19000,2,2.236
"3220",0.04,"E 6TH AVE","E","3  Principal Arterial - Other",44,4,3,10,22000,3,2.15
"3221",0.11,"N GRANT ST","N","4  Minor Arterial",52,1,3,10,10000,1,1.05
"3222",0.05,"W FLORIDA AVE","W","4  Minor Arterial",48,4,4,10,10000,1,0.93
"3223",0.06,"E MONTVIEW BLVD","E","4  Minor Arterial",56,4,4,10,11000,3,2.72
"3224",0.05,"W YALE AVE","W","4  Minor Arterial",36,1,2,10,9100,3,1.04
"3225",0.07,"E CHERRY CREEK SOUTH DR","SE","4  Minor Arterial",28,4,2,10,21000,3,0.78
"3226",0.07,"S ULSTER ST","S","4  Minor Arterial",100,4,4,11,11000,2,0.74
"3227",0.06,"E 13TH AVE","E","4  Minor Arterial",32,4,2,10,10000,3,2.48
"3228",0.06,"W 35TH AVE","W","5  Major Collector",40,4,2,10,630,3,0.42
"3229",0.05,"E ANDREWS DR","E","5  Major Collector",94,4,2,10,4900,3,0.22
"3230",0.1,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,4,11,31000,1,1.5
"3231",0.06,"E 14TH AVE","E","4  Minor Arterial",32,4,2,10,6200,3,5.43
"3232",0.245,"S IRVING ST","S","5  Major Collector",40,4,2,10,4100,3,2.905
"3233",0.04,"E MARTIN LUTHER KING BLVD","E","5  Major Collector",68,2.5,4,10,22000,1,2.89
"3234",0.17,"E SMITH RD","E","4  Minor Arterial",22,1,2,11,5800,3,0.51
"3235",0.07,"E 18TH AVE","E","4  Minor Arterial",40,2.5,3,12,11000,1,0.38
"3236",0.06,"E 23RD AVE","E","4  Minor Arterial",48,4,3,10,11000,3,2.13
"3237",0.02,"N TENNYSON ST","N","5  Major Collector",20,4,2,10,4000,3,1.97
"3238",0.01,"E ALAMEDA AVE","E","3  Principal Arterial - Other",30,4,2,10,33000,0,2.4
"3239",0.06,"W 29TH AVE","W","4  Minor Arterial",44,4,2,10,8500,3,1.565
"3240",0.06,"BLAKE ST","NE","4  Minor Arterial",44,4,2,11,1100,0,0.23
"3241",0.06,"PARK AVE W","NW","4  Minor Arterial",60,4,4,10,23000,3,0.55
"3242",0.05,"E 20TH AVE","E","4  Minor Arterial",44,4,3,10,2500,0,0.606
"3243",0.03,"S QUEBEC ST","S","4  Minor Arterial",28,4,2,12,27000,3,1.205
"3244",0.08,"E MAXWELL PL","E","5  Major Collector",38,4,2,10,4700,3,1.01
"3245",0.05,"E YALE AVE","E","4  Minor Arterial",40,4,2,10,6600,1,0.968
"3246",0.045,"N SPEER BLVD","NW","3  Principal Arterial - Other",44,4,4,10,25000,1,0.645
"3247",0.06,"W KENTUCKY AVE","W","5  Major Collector",36,4,2,10,5300,3,1.81
"3248",0.06,"N TENNYSON ST","N","5  Major Collector",40,4,2,10,4000,3,0.84
"3249",0.07,"E 6TH AVE","E","3  Principal Arterial - Other",48,4,4,10,30000,1,0.88
"3250",0.25,"S QUEBEC ST","S","4  Minor Arterial",28,4,2,12,27000,3,0.92
"3251",0.06,"S SYRACUSE WAY","S","4  Minor Arterial",24,4,2,10,10000,3,0.705
"3252",0.03,"E 11TH AVE","E","4  Minor Arterial",36,4,2,10,12000,3,0.88
"3253",0.07,"E 26TH AVE","E","5  Major Collector",36,2.5,2,10,5900,3,0.45
"3254",0.04,"N ZUNI ST","N","5  Major Collector",54,4,2,11,11000,1,0.41
"3255",0.03,"E 8TH AVE","E","3  Principal Arterial - Other",36,4,2,12,17000,3,0.45
"3256",0.04,"W 10TH AVE","W","5  Major Collector",40,4,2,10,5900,3,0.845
"3257",0.07,"18TH ST","NW","4  Minor Arterial",52,4,3,10,8600,0,0.71
"3258",0.06,"E YALE AVE","E","4  Minor Arterial",40,4,2,10,6600,1,0.798
"3259",0.13,"E BAYAUD AVE","E","5  Major Collector",44,4,2,10,4700,3,0.2
"3260",0.06,"E 1ST AVE","E","5  Major Collector",36,4,2,11,6800,3,2.11
"3261",0.06,"E 29TH AVE","E","5  Major Collector",40,4,2,11,3400,3,1.3
"3262",0.06,"E 13TH AVE","E","4  Minor Arterial",44,4,3,10,10000,3,0.58
"3263",0.04,"N DAHLIA ST","N","5  Major Collector",30,2.5,2,13,640,3,0.24
"3264",0.09,"BLAKE ST","NE","5  Major Collector",44,4,2,10,4200,3,0.52
"3265",0.079,"E 56TH AVE","E","3  Principal Arterial - Other",24,2.5,2,12,16000,2,4.979
"3266",0.08,"W 6TH AVENUE FWY","W","3  Principal Arterial - Other",84,4,6,10,66000,3,0.08
"3267",0.07,"E HALE PKWY","SE","5  Major Collector",110,4,4,12,5800,3,0.64
"3268",0.02,"N BRIGHTON BLVD","NE","3  Principal Arterial - Other",50,4,4,10,16000,1,0.22
"3269",0.07,"E 18TH AVE","E","4  Minor Arterial",40,2.5,3,12,11000,1,0.58
"3270",0.06,"N DECATUR ST","N","5  Major Collector",36,2.5,2,10,4900,3,0.67
"3271",0.07,"E EVANS AVE","E","3  Principal Arterial - Other",62,4,4,10,46000,3,3.9
"3272",0.03,"N SPEER BLVD","NW","3  Principal Arterial - Other",40,1,3,10,31000,3,0.33
"3273",0.02,"S LOGAN ST","S","4  Minor Arterial",20,4,2,10,13000,3,0.74
"3274",0.06,"W LOUISIANA AVE","W","5  Major Collector",36,4,2,10,3900,3,1.22
"3275",0.02,"S DTC BLVD","S","4  Minor Arterial",36,4,4,12,11000,2,0.78
"3277",0.07,"LAWRENCE ST","NE","4  Minor Arterial",40,4,3,13,5400,1,0.475
"3278",0.01,"W EVANS AVE","W","3  Principal Arterial - Other",60,4,4,10,30000,0,1
"3279",0.07,"E 17TH AVE","E","5  Major Collector",48,4,3,10,16000,3,0.67
"3280",0.07,"S PLATTE RIVER DR","S","5  Major Collector",26,4,2,10,720,3,0.25
"3281",0.06,"E 11TH AVE","E","5  Major Collector",40,4,3,10,6900,1,0.71
"3282",0.06,"W 7TH AVE","W","5  Major Collector",44,4,3,12,6800,3,0.19
"3283",0.06,"E 14TH AVE","E","4  Minor Arterial",40,4,3,10,8700,1,1.01
"3284",0.023,"S KNOX CT","S","5  Major Collector",30,1,2,10,2800,3,0.023
"3285",0.06,"E 17TH AVE","E","4  Minor Arterial",26,4,2,10,8500,3,0.94
"3286",0.08,"S HOLLY ST","S","4  Minor Arterial",52,2.5,2,10,17000,3,2.58
"3287",0.11,"E UNION AVE","NE","5  Major Collector",36,4,4,11,8100,3,1.02
"3288",0.06,"W 44TH AVE","W","4  Minor Arterial",40,4,2,10,6900,3,1.03
"3289",0.08,"W COLFAX AVE","W","5  Major Collector",30,2.5,2,12,3200,3,0.11
